"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"EQ_Resets"	"sd"	"se"	"ci"
"srv_100"	"srv_098l"	4	"∂L*M"	500	5100	0	0	0
"srv_100"	"srv_098l"	4	"Adp"	500	5100	0	0	0
"srv_100"	"srv_098l"	4	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_098l"	4	"DL*M"	500	5100	0	0	0
"srv_100"	"srv_098m"	1	"∂L*M"	500	5100	0	0	0
"srv_100"	"srv_098m"	1	"Adp"	500	5100	0	0	0
"srv_100"	"srv_098m"	1	"DL*M+"	500	5100	0	0	0
"srv_100"	"srv_098m"	1	"DL*M"	500	5100	0	0	0
"srv_100f"	"null"	0	"L*M"	73	5025	0	0	0
"srv_100f"	"srv_097"	109	"∂L*M"	500	5014.308	11.0066993627392	0.492234559659769	0.967107706623431
"srv_100f"	"srv_097"	109	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_097"	109	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_097"	109	"DL*M"	500	5133.542	119.506736027355	5.34450371052576	10.5005035203127
"srv_100f"	"srv_097c"	100	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_097c"	100	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_097c"	100	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_097c"	100	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_097e"	87	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_097e"	87	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_097e"	87	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_097e"	87	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_098f"	51	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_098f"	51	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_098f"	51	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_098f"	51	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_098l"	26	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_098l"	26	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_098l"	26	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_098l"	26	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_098m"	22	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_098m"	22	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_098m"	22	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_098m"	22	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_098s"	0	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_098s"	0	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M"	500	5025	0	0	0
"srv_100f"	"srv_100"	21	"∂L*M"	500	5025	0	0	0
"srv_100f"	"srv_100"	21	"Adp"	500	5025	0	0	0
"srv_100f"	"srv_100"	21	"DL*M+"	500	5025	0	0	0
"srv_100f"	"srv_100"	21	"DL*M"	500	5025	0	0	0
"srv_100h"	"null"	0	"L*M"	73	6077	0	0	0
"srv_100h"	"srv_097"	112	"∂L*M"	500	6254.39	182.611148518173	8.1666188307189	16.0451960417069
"srv_100h"	"srv_097"	112	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_097"	112	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_097"	112	"DL*M"	500	6237.246	163.581782246575	7.31559969967821	14.3731737426585
"srv_100h"	"srv_097c"	102	"∂L*M"	500	6077	0	0	0
"srv_100h"	"srv_097c"	102	"Adp"	500	6077	0	0	0
"srv_100h"	"srv_097c"	102	"DL*M+"	500	6077	0	0	0
"srv_100h"	"srv_097c"	102	"DL*M"	500	6077	0	0	0
"srv_100h"	"srv_097e"	89	"∂L*M"	500	6077	0	0	0
"srv_100h"	"srv_097e"	89	"Adp"	500	6077	0	0	0
