"SUL"	"Reuse"	"DeltaY"	"Method"	"N"	"TQ_Resets"	"sd"	"se"	"ci"
"srv_100f"	"srv_098f"	4	"Adp"	500	5583	0	0	0
"srv_100f"	"srv_098f"	4	"DL*M+"	500	5829.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100f"	"srv_098f"	4	"DL*M"	500	5816.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100f"	"srv_098l"	2	"∂L*M"	500	5504.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100f"	"srv_098l"	2	"Adp"	500	5522	0	0	0
"srv_100f"	"srv_098l"	2	"DL*M+"	500	5571	0	0	0
"srv_100f"	"srv_098l"	2	"DL*M"	500	5571	0	0	0
"srv_100f"	"srv_098m"	1	"∂L*M"	500	5504.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_100f"	"srv_098m"	1	"Adp"	500	5522	0	0	0
"srv_100f"	"srv_098m"	1	"DL*M+"	500	5522	0	0	0
"srv_100f"	"srv_098m"	1	"DL*M"	500	5522	0	0	0
"srv_100f"	"srv_098s"	0	"∂L*M"	500	5503.604	6.92814422228128	0.309836028778867	0.608743952128747
"srv_100f"	"srv_098s"	0	"Adp"	500	5522	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M+"	500	5522	0	0	0
"srv_100f"	"srv_098s"	0	"DL*M"	500	5522	0	0	0
"srv_100f"	"srv_100"	1	"∂L*M"	500	5504.276	7.62759361586192	0.341116356596213	0.670201331551217
"srv_100f"	"srv_100"	1	"Adp"	500	5522	0	0	0
"srv_100f"	"srv_100"	1	"DL*M+"	500	5522	0	0	0
"srv_100f"	"srv_100"	1	"DL*M"	500	5522	0	0	0
"srv_100h"	"null"	0	"L*M"	73	6672	0	0	0
"srv_100h"	"srv_097"	9	"∂L*M"	500	6799.16	168.402354811958	7.53118225861152	14.7967351323791
"srv_100h"	"srv_097"	9	"Adp"	500	6745	0	0	0
"srv_100h"	"srv_097"	9	"DL*M+"	500	7291.92	105.10855920636	4.70059766804964	9.23540239362532
"srv_100h"	"srv_097"	9	"DL*M"	500	7407.566	218.838713231498	9.78676477788422	19.2283444017922
"srv_100h"	"srv_097c"	8	"∂L*M"	500	6653.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_100h"	"srv_097c"	8	"Adp"	500	6745	0	0	0
"srv_100h"	"srv_097c"	8	"DL*M+"	500	6993.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_100h"	"srv_097c"	8	"DL*M"	500	6925.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_100h"	"srv_097e"	7	"∂L*M"	500	6653.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_100h"	"srv_097e"	7	"Adp"	500	6745	0	0	0
"srv_100h"	"srv_097e"	7	"DL*M+"	500	6993.38	27.5134436077768	1.23043860404192	2.41747888916703
