"SUL"	"Reuse"	"DeltaW"	"Method"	"N"	"EQ_Symbols_Diff"	"sd"	"se"	"ci"
"srv_100m"	"srv_098l"	239	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098l"	239	"DL*M"	500	4.72	1.15075996497705	0.0514635501494794	0.101111949543251
"srv_100m"	"srv_098m"	223	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_098m"	223	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098m"	223	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098m"	223	"DL*M"	500	5	0	0	0
"srv_100m"	"srv_098s"	126	"∂L*M"	500	0.088	0.58732094444483	0.0262657911277603	0.0516051718062544
"srv_100m"	"srv_098s"	126	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098s"	126	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098s"	126	"DL*M"	500	4.89	0.734151180556038	0.0328322389097004	0.064506464757818
"srv_100m"	"srv_098u"	116	"∂L*M"	500	1.952	2.00142634509233	0.0895065071917082	0.1758560653642
"srv_100m"	"srv_098u"	116	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098u"	116	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098u"	116	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_098za"	0	"∂L*M"	500	1.944	2.00121806595258	0.0894971926654126	0.175837764840624
"srv_100m"	"srv_098za"	0	"Adp"	500	0	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_098za"	0	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_100"	218	"∂L*M"	500	0	0	0	0
"srv_100m"	"srv_100"	218	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100"	218	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_100"	218	"DL*M"	500	5	0	0	0
"srv_100m"	"srv_100f"	126	"∂L*M"	500	0.08	0.560560841402454	0.0250690429380073	0.0492538854642354
"srv_100m"	"srv_100f"	126	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100f"	126	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_100f"	126	"DL*M"	500	4.9	0.700701051753068	0.0313363036725092	0.0615673568302942
"srv_100m"	"srv_100h"	116	"∂L*M"	500	1.968	2.00174673222162	0.0895208353397121	0.175884216297702
"srv_100m"	"srv_100h"	116	"Adp"	500	0	0	0	0
"srv_100m"	"srv_100h"	116	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_100h"	116	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_101"	116	"∂L*M"	500	1.984	2.00193893988755	0.0895294311278484	0.175901104695292
"srv_100m"	"srv_101"	116	"Adp"	500	0	0	0	0
"srv_100m"	"srv_101"	116	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_101"	116	"DL*M"	500	0	0	0	0
"srv_100m"	"srv_101h"	0	"∂L*M"	500	1.808	1.99275642172159	0.0891187764313742	0.175094279343582
"srv_100m"	"srv_101h"	0	"Adp"	500	0	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M+"	500	0	0	0	0
"srv_100m"	"srv_101h"	0	"DL*M"	500	0	0	0	0
"srv_101"	"null"	0	"L*M"	73	0	0	0	0
"srv_101"	"srv_097"	480	"∂L*M"	500	1124.604	1157.70465115357	51.7741259569412	101.722146960301
"srv_101"	"srv_097"	480	"Adp"	500	0	0	0	0
"srv_101"	"srv_097"	480	"DL*M+"	500	0	0	0	0
