SUL name|Seed|Cache|ClosingStrategy|ObservationTableCEXHandler|EquivalenceOracle|Method|Reading OT|Reused queries [resets]|Reused queries [symbols]|Rounds|MQ [resets]|MQ [symbols]|EQ [resets]|EQ [symbols]|Learning [ms]|Searching for counterexample [ms]|Qsize|Isize|Equivalent|Info|Reused prefixes|Reused suffixes
server_097.dot.kiss|1548861165208|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_097c.dot.ot|1149|6704|1|1149|6704|0|0|46|4|17|7|OK|N/A|17/14|5/8
server_097.dot.kiss|1548861166237|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_097c.dot.ot|null|null|5|938|5626|8680|55405|80|200|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861167233|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_097e.dot.ot|null|null|3|1146|6677|7596|47865|49|174|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861168307|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_097e.dot.ot|778|4287|5|1274|7585|8680|55405|52|202|17|7|OK|N/A|10/14|4/8
server_097.dot.kiss|1548861169255|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_097e.dot.ot|1149|6704|1|1149|6704|0|0|41|3|17|7|OK|N/A|17/14|5/8
server_097.dot.kiss|1548861170242|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_097e.dot.ot|null|null|5|938|5626|8680|55405|96|205|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861171237|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_098l.dot.ot|null|null|4|1159|6762|7768|49413|54|184|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861172331|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_098l.dot.ot|546|2408|5|1139|6544|8680|55405|37|132|17|7|OK|N/A|10/11|4/7
server_097.dot.kiss|1548861173416|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_098l.dot.ot|778|3737|3|1100|6231|7767|49408|60|186|17|7|OK|N/A|14/11|5/7
server_097.dot.kiss|1548861174265|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_098l.dot.ot|null|null|5|938|5626|8680|55405|54|132|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861175259|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_098m.dot.ot|null|null|4|1159|6762|7768|49413|46|191|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861176263|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_098m.dot.ot|497|2065|5|1118|6397|8680|55405|40|186|17|7|OK|N/A|10/10|4/7
server_097.dot.kiss|1548861177272|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_098m.dot.ot|595|2506|4|1089|6174|7768|49413|46|173|17|7|OK|N/A|12/10|5/7
server_097.dot.kiss|1548861178198|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_098m.dot.ot|null|null|5|935|5608|8680|55405|82|171|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861179328|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_098s.dot.ot|null|null|4|1159|6762|7768|49413|47|191|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861180260|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_098s.dot.ot|497|2065|5|1118|6397|8680|55405|50|203|17|7|OK|N/A|10/10|4/7
server_097.dot.kiss|1548861181261|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_098s.dot.ot|595|2506|4|1089|6174|7768|49413|48|172|17|7|OK|N/A|12/10|5/7
server_097.dot.kiss|1548861182271|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_098s.dot.ot|null|null|5|935|5608|8680|55405|67|179|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861183280|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_098u.dot.ot|null|null|4|1159|6762|7768|49413|42|176|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861184322|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_098u.dot.ot|595|2751|6|1331|7673|7766|49411|48|171|17|7|OK|N/A|5/12|3/7
server_097.dot.kiss|1548861185277|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_098u.dot.ot|693|3192|7|1494|8683|7772|49434|53|204|17|7|OK|N/A|7/12|3/7
server_097.dot.kiss|1548861186273|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_098u.dot.ot|null|null|6|931|5493|7766|49411|60|197|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861187373|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_098za.dot.ot|null|null|4|1159|6762|7768|49413|47|188|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861190355|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_098za.dot.ot|644|2898|5|1318|7582|7730|49234|48|189|17|7|OK|N/A|8/9|4/7
server_097.dot.kiss|1548861190351|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_098za.dot.ot|448|2016|8|1438|8554|7940|50227|47|224|17|7|OK|N/A|4/9|3/7
server_097.dot.kiss|1548861191370|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_098za.dot.ot|null|null|8|1125|6897|7940|50227|46|208|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861191914|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_100.dot.ot|null|null|4|1159|6762|7768|49413|38|166|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861193064|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_100.dot.ot|497|2065|5|1118|6397|8680|55405|53|217|17|7|OK|N/A|10/10|4/7
server_097.dot.kiss|1548861193584|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_100.dot.ot|595|2506|4|1089|6174|7768|49413|43|174|17|7|OK|N/A|12/10|5/7
server_097.dot.kiss|1548861194880|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_100.dot.ot|null|null|5|935|5608|8680|55405|90|209|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861195699|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_101.dot.ot|null|null|4|1159|6762|7768|49413|50|163|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861196363|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_101.dot.ot|693|3486|6|1429|8408|7766|49411|41|160|17|7|OK|N/A|5/14|3/7
server_097.dot.kiss|1548861197255|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_101.dot.ot|791|3927|7|1592|9418|7772|49434|48|168|17|7|OK|N/A|7/14|3/7
server_097.dot.kiss|1548861198284|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v2|server_101.dot.ot|null|null|6|931|5493|7766|49411|64|188|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861199322|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|Adaptive|server_101k.dot.ot|null|null|4|1159|6762|7768|49413|43|190|17|7|OK|N/A|null|null
server_097.dot.kiss|1548861200267|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v0|server_101k.dot.ot|399|1624|8|1389|8162|7940|50227|52|176|17|7|OK|N/A|4/8|3/7
server_097.dot.kiss|1548861201261|Y|CloseFirst|RivestSchapire|WpMethodHypEQOracle(2)|DL*M_v1|server_101k.dot.ot|644|2898|5|1318|7582|7730|49234|45|183|17|7|OK|N/A|8/8|4/7
