"","SUL","Reuse","Method","EqO","MQs","EQs","PrefIni","SuffIni","PrefEnd","SuffEnd"
"477","srv_101","srv_097","WpMethodHypEQOracle","DL*M",1055,0,17,8,10,4
"478","srv_101","srv_097","WpMethodHypEQOracle","DL*M+",1163,0,17,8,14,4
"481","srv_101","srv_097e","WpMethodHypEQOracle","DL*M",890,0,14,8,10,4
"482","srv_101","srv_097e","WpMethodHypEQOracle","DL*M+",998,0,14,8,14,4
"485","srv_101","srv_098l","WpMethodHypEQOracle","DL*M",658,0,11,7,10,4
"486","srv_101","srv_098l","WpMethodHypEQOracle","DL*M+",742,0,11,7,14,4
"489","srv_101","srv_098m","WpMethodHypEQOracle","DL*M",609,0,10,7,10,4
"490","srv_101","srv_098m","WpMethodHypEQOracle","DL*M+",693,0,10,7,14,4
"493","srv_101","srv_098s","WpMethodHypEQOracle","DL*M",609,0,10,7,10,4
"494","srv_101","srv_098s","WpMethodHypEQOracle","DL*M+",693,0,10,7,14,4
"497","srv_101","srv_098u","WpMethodHypEQOracle","DL*M",651,0,12,7,12,4
"498","srv_101","srv_098u","WpMethodHypEQOracle","DL*M+",693,0,12,7,14,4
"501","srv_101","srv_098za","WpMethodHypEQOracle","DL*M",588,116,9,7,9,3
"503","srv_101","srv_098za","WpMethodHypEQOracle","DL*M+",693,0,9,7,14,4
"505","srv_101","srv_100","WpMethodHypEQOracle","DL*M",609,0,10,7,10,4
"506","srv_101","srv_100","WpMethodHypEQOracle","DL*M+",693,0,10,7,14,4
"509","srv_101","srv_101k","WpMethodHypEQOracle","DL*M",567,116,8,7,8,3
"510","srv_101","srv_101k","WpMethodHypEQOracle","DL*M+",693,0,8,7,14,4
"513","srv_101","srv_102","WpMethodHypEQOracle","DL*M",546,116,7,7,7,3
"514","srv_101","srv_102","WpMethodHypEQOracle","DL*M+",693,0,7,7,14,4
"517","srv_101","srv_110pre1","WpMethodHypEQOracle","DL*M",525,118,6,7,6,2
"518","srv_101","srv_110pre1","WpMethodHypEQOracle","DL*M+",693,0,6,7,14,4
"521","srv_101k","srv_097c","WpMethodHypEQOracle","DL*M",799,0,14,8,7,3
"522","srv_101k","srv_097","WpMethodHypEQOracle","DL*M",964,0,17,8,7,3
"526","srv_101k","srv_097","WpMethodHypEQOracle","DL*M+",998,0,17,8,8,3
"528","srv_101k","srv_097c","WpMethodHypEQOracle","DL*M+",833,0,14,8,8,3
"529","srv_101k","srv_097e","WpMethodHypEQOracle","DL*M",799,0,14,8,7,3
"531","srv_101k","srv_097e","WpMethodHypEQOracle","DL*M+",833,0,14,8,8,3
"533","srv_101k","srv_098l","WpMethodHypEQOracle","DL*M",567,0,11,7,7,3
"534","srv_101k","srv_098l","WpMethodHypEQOracle","DL*M+",595,0,11,7,8,3
"537","srv_101k","srv_098m","WpMethodHypEQOracle","DL*M",518,0,10,7,7,3
"538","srv_101k","srv_098m","WpMethodHypEQOracle","DL*M+",546,0,10,7,8,3
"541","srv_101k","srv_098s","WpMethodHypEQOracle","DL*M",518,0,10,7,7,3
"542","srv_101k","srv_098s","WpMethodHypEQOracle","DL*M+",546,0,10,7,8,3
"545","srv_101k","srv_098u","WpMethodHypEQOracle","DL*M",595,0,12,7,8,3
"546","srv_101k","srv_098u","WpMethodHypEQOracle","DL*M+",595,0,12,7,8,3
"549","srv_101k","srv_098za","WpMethodHypEQOracle","DL*M",448,0,9,7,8,3
"550","srv_101k","srv_098za","WpMethodHypEQOracle","DL*M+",448,0,9,7,8,3
"553","srv_101k","srv_100","WpMethodHypEQOracle","DL*M",518,0,10,7,7,3
"554","srv_101k","srv_100","WpMethodHypEQOracle","DL*M+",546,0,10,7,8,3
"557","srv_101k","srv_101","WpMethodHypEQOracle","DL*M",693,0,14,7,8,3
"558","srv_101k","srv_101","WpMethodHypEQOracle","DL*M+",693,0,14,7,8,3
"561","srv_101k","srv_102","WpMethodHypEQOracle","DL*M",371,0,7,7,7,3
"563","srv_101k","srv_102","WpMethodHypEQOracle","DL*M+",399,0,7,7,8,3
"565","srv_101k","srv_110pre1","WpMethodHypEQOracle","DL*M",343,57,6,7,6,2
"566","srv_101k","srv_110pre1","WpMethodHypEQOracle","DL*M+",399,0,6,7,8,3
"569","srv_102","srv_097c","WpMethodHypEQOracle","DL*M",778,0,14,8,7,4
"570","srv_102","srv_097c","WpMethodHypEQOracle","DL*M+",778,0,14,8,7,4
"573","srv_102","srv_097","WpMethodHypEQOracle","DL*M",943,0,17,8,7,4
"574","srv_102","srv_097","WpMethodHypEQOracle","DL*M+",943,0,17,8,7,4
"577","srv_102","srv_097e","WpMethodHypEQOracle","DL*M",778,0,14,8,7,4
"578","srv_102","srv_097e","WpMethodHypEQOracle","DL*M+",778,0,14,8,7,4
"581","srv_102","srv_098l","WpMethodHypEQOracle","DL*M",546,0,11,7,7,4
"582","srv_102","srv_098l","WpMethodHypEQOracle","DL*M+",546,0,11,7,7,4
"585","srv_102","srv_098m","WpMethodHypEQOracle","DL*M",497,0,10,7,7,4
"586","srv_102","srv_098m","WpMethodHypEQOracle","DL*M+",497,0,10,7,7,4
"589","srv_102","srv_098s","WpMethodHypEQOracle","DL*M",497,0,10,7,7,4
"590","srv_102","srv_098s","WpMethodHypEQOracle","DL*M+",497,0,10,7,7,4
"593","srv_102","srv_098u","WpMethodHypEQOracle","DL*M",719,494,12,7,4,2
"594","srv_102","srv_098u","WpMethodHypEQOracle","DL*M+",742,0,12,7,7,4
"597","srv_102","srv_098za","WpMethodHypEQOracle","DL*M",574,494,9,7,4,2
"598","srv_102","srv_098za","WpMethodHypEQOracle","DL*M+",595,0,9,7,7,4
"601","srv_102","srv_100","WpMethodHypEQOracle","DL*M",497,0,10,7,7,4
"602","srv_102","srv_100","WpMethodHypEQOracle","DL*M+",497,0,10,7,7,4
"605","srv_102","srv_101","WpMethodHypEQOracle","DL*M",817,494,14,7,4,2
"606","srv_102","srv_101","WpMethodHypEQOracle","DL*M+",840,0,14,7,7,4
"609","srv_102","srv_101k","WpMethodHypEQOracle","DL*M",525,494,8,7,4,2
"610","srv_102","srv_101k","WpMethodHypEQOracle","DL*M+",546,0,8,7,7,4
"613","srv_102","srv_110pre1","WpMethodHypEQOracle","DL*M",329,50,6,7,6,3
"614","srv_102","srv_110pre1","WpMethodHypEQOracle","DL*M+",350,0,6,7,7,4
"617","srv_110pre1","srv_097c","WpMethodHypEQOracle","DL*M",778,0,14,8,6,3
"618","srv_110pre1","srv_097c","WpMethodHypEQOracle","DL*M+",778,0,14,8,6,3
"621","srv_110pre1","srv_097","WpMethodHypEQOracle","DL*M",943,0,17,8,6,3
"622","srv_110pre1","srv_097","WpMethodHypEQOracle","DL*M+",943,0,17,8,6,3
"625","srv_110pre1","srv_097e","WpMethodHypEQOracle","DL*M",778,0,14,8,6,3
"626","srv_110pre1","srv_097e","WpMethodHypEQOracle","DL*M+",778,0,14,8,6,3
"629","srv_110pre1","srv_098l","WpMethodHypEQOracle","DL*M",546,0,11,7,6,3
