"SUL"	"Reuse"	"Method"	"N"	"TQ_Resets"	"sd"	"se"	"ci"
"srv_098f"	"srv_097c"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_097e"	"∂L*M"	500	9745.4	8.21943539645351	0.36758432566276	0.722203728296014
"srv_098f"	"srv_097e"	"DL*M+"	500	9818	0	0	0
"srv_098f"	"srv_097e"	"DL*M"	500	9844.124	19.5095327400599	0.872492828320635	1.71421230322753
"srv_098f"	"srv_097e"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_098l"	"∂L*M"	500	9753.408	5.28861748946734	0.236514164268865	0.464686329923929
"srv_098f"	"srv_098l"	"DL*M+"	500	9798.456	23.7033280262295	1.0600450551925	2.08270167570788
"srv_098f"	"srv_098l"	"DL*M"	500	9804.638	15.9696278612889	0.714183469464333	1.40317725301413
"srv_098f"	"srv_098l"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_098m"	"∂L*M"	500	9753.408	5.28861748946734	0.236514164268865	0.464686329923929
"srv_098f"	"srv_098m"	"DL*M+"	500	9765	0	0	0
"srv_098f"	"srv_098m"	"DL*M"	500	9765	0	0	0
"srv_098f"	"srv_098m"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_098s"	"∂L*M"	500	9752.736	4.61876281485419	0.206557352519245	0.405829301419165
"srv_098f"	"srv_098s"	"DL*M+"	500	9766.41	8.0256290372086	0.358917041787892	0.705174860927028
"srv_098f"	"srv_098s"	"DL*M"	500	9767.4	13.6606451697168	0.610922624319816	1.20029763562047
"srv_098f"	"srv_098s"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_098u"	"∂L*M"	500	9745.504	7.58663945343344	0.33928483077318	0.666602878936351
"srv_098f"	"srv_098u"	"DL*M+"	500	9953.68	56.0821184337399	2.50806858280073	4.92767605924143
"srv_098f"	"srv_098u"	"DL*M"	500	9953.508	55.7464372541696	2.493056464075	4.89818130835999
"srv_098f"	"srv_098u"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_098za"	"∂L*M"	500	9741.038	14.7572391800239	0.659963799335134	1.29665027354164
"srv_098f"	"srv_098za"	"DL*M+"	500	9916.61	102.151003691154	4.56833176446506	8.97553568542715
"srv_098f"	"srv_098za"	"DL*M"	500	9848.07	37.4733719755032	1.67586014166721	3.29261167551837
"srv_098f"	"srv_098za"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_100"	"∂L*M"	500	9753.184	5.08506241057461	0.227410904397476	0.446800887700811
"srv_098f"	"srv_100"	"DL*M+"	500	9765	0	0	0
"srv_098f"	"srv_100"	"DL*M"	500	9765	0	0	0
"srv_098f"	"srv_100"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_100f"	"∂L*M"	500	9752.932	4.83343565183202	0.216157813647348	0.424691609564584
"srv_098f"	"srv_100f"	"DL*M+"	500	9766.128	7.20050766413331	0.322016492190206	0.632675266588855
"srv_098f"	"srv_100f"	"DL*M"	500	9766.92	12.2561832580992	0.548113178196095	1.07689407078954
"srv_098f"	"srv_100f"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_100h"	"∂L*M"	500	9745.704	8.39412333798036	0.37539660790483	0.737552748827701
"srv_098f"	"srv_100h"	"DL*M+"	500	9957.664	53.683507168252	2.40079942597618	4.71692119408176
"srv_098f"	"srv_100h"	"DL*M"	500	9957.524	53.3681341202684	2.38669551450492	4.6892108246863
"srv_098f"	"srv_100h"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_100m"	"∂L*M"	500	9743.054	15.4504536190388	0.690965291507566	1.35755981637729
"srv_098f"	"srv_100m"	"DL*M+"	500	9911.164	102.449015151005	4.58165924211105	9.00172057246597
"srv_098f"	"srv_100m"	"DL*M"	500	9846.23	38.8241642725626	1.73626940966137	3.41129953983454
"srv_098f"	"srv_100m"	"Adp"	500	9820	0	0	0
"srv_098f"	"srv_101"	"∂L*M"	500	9746.604	8.25320633630708	0.369094608006292	0.725171024405042
