"Control"	"Treatment"	"DeltaQ"	"Measure"	"Wilcox"	"VD"	"VD.magnitude"
"∂L*M"	"Adp"	9	"EQ_Resets_Diff"	1.03107028649817e-71	0.743	"large"
"∂L*M"	"Adp"	9	"MQ_Resets_Diff"	1.91713479685184e-192	0	"large"
"DL*M"	"DL*M+"	0	"TQ_Resets_Diff"	0.703418809081737	0.5010690078125	"negligible"
"DL*M"	"DL*M+"	0	"EQ_Resets_Diff"	0	0.602550765625	"small"
"DL*M"	"DL*M+"	0	"MQ_Resets_Diff"	0.703418809081737	0.5010690078125	"negligible"
"DL*M"	"DL*M+"	3	"TQ_Resets_Diff"	5.48321035915943e-05	0.485468446280992	"negligible"
"DL*M"	"DL*M+"	3	"EQ_Resets_Diff"	0.423261354112218	0.49751073553719	"negligible"
"DL*M"	"DL*M+"	3	"MQ_Resets_Diff"	5.48321035915943e-05	0.485468446280992	"negligible"
"DL*M"	"DL*M+"	-3	"TQ_Resets_Diff"	0	0.320991363636364	"medium"
"DL*M"	"DL*M+"	-3	"EQ_Resets_Diff"	0	0.807866780991736	"large"
"DL*M"	"DL*M+"	-3	"MQ_Resets_Diff"	0	0.320991363636364	"medium"
"DL*M"	"DL*M+"	-4	"TQ_Resets_Diff"	0	0.279758472589792	"medium"
"DL*M"	"DL*M+"	-4	"EQ_Resets_Diff"	0	0.640893187145558	"small"
"DL*M"	"DL*M+"	-4	"MQ_Resets_Diff"	0	0.279758472589792	"medium"
"DL*M"	"DL*M+"	-2	"TQ_Resets_Diff"	0	0.338903914951989	"small"
"DL*M"	"DL*M+"	-2	"EQ_Resets_Diff"	4.7365271387352e-122	0.575135264746228	"small"
"DL*M"	"DL*M+"	-2	"MQ_Resets_Diff"	0	0.338903914951989	"small"
"DL*M"	"DL*M+"	-5	"TQ_Resets_Diff"	1.26918218795965e-21	0.4580163183391	"negligible"
"DL*M"	"DL*M+"	-5	"EQ_Resets_Diff"	1.40798053165406e-20	0.540937051903114	"negligible"
"DL*M"	"DL*M+"	-5	"MQ_Resets_Diff"	1.26918218795965e-21	0.4580163183391	"negligible"
"DL*M"	"DL*M+"	-6	"TQ_Resets_Diff"	1.49662262361165e-196	0.295945102040816	"medium"
"DL*M"	"DL*M+"	-6	"EQ_Resets_Diff"	7.82023458506405e-117	0.65726587755102	"small"
"DL*M"	"DL*M+"	-6	"MQ_Resets_Diff"	1.49662262361165e-196	0.295945102040816	"medium"
"DL*M"	"DL*M+"	-7	"TQ_Resets_Diff"	0.0842144955437648	0.5109866875	"negligible"
"DL*M"	"DL*M+"	-7	"EQ_Resets_Diff"	0	0.775484875	"large"
"DL*M"	"DL*M+"	-7	"MQ_Resets_Diff"	0.0842144955437648	0.5109866875	"negligible"
"DL*M"	"DL*M+"	-8	"TQ_Resets_Diff"	1.80138670500238e-26	0.426815183673469	"negligible"
"DL*M"	"DL*M+"	-8	"EQ_Resets_Diff"	2.24326119976588e-14	0.55246293877551	"negligible"
"DL*M"	"DL*M+"	-8	"MQ_Resets_Diff"	1.80138670500238e-26	0.426815183673469	"negligible"
"DL*M"	"DL*M+"	4	"TQ_Resets_Diff"	5.78901655509427e-14	0.472320967863894	"negligible"
"DL*M"	"DL*M+"	4	"EQ_Resets_Diff"	7.85329231678246e-23	0.527264446124764	"negligible"
"DL*M"	"DL*M+"	4	"MQ_Resets_Diff"	5.78901655509427e-14	0.472320967863894	"negligible"
"DL*M"	"DL*M+"	7	"TQ_Resets_Diff"	0.00638788293403718	0.4828835	"negligible"
"DL*M"	"DL*M+"	7	"EQ_Resets_Diff"	4.91590335780385e-246	0.6615	"small"
"DL*M"	"DL*M+"	7	"MQ_Resets_Diff"	0.00638788293403718	0.4828835	"negligible"
"DL*M"	"DL*M+"	1	"TQ_Resets_Diff"	0	0.356523293005671	"small"
"DL*M"	"DL*M+"	1	"EQ_Resets_Diff"	0	0.768984514177694	"large"
"DL*M"	"DL*M+"	1	"MQ_Resets_Diff"	0	0.356523293005671	"small"
"DL*M"	"DL*M+"	2	"TQ_Resets_Diff"	1.30067309074934e-173	0.402061475994513	"small"
"DL*M"	"DL*M+"	2	"EQ_Resets_Diff"	0	0.633018060356653	"small"
"DL*M"	"DL*M+"	2	"MQ_Resets_Diff"	1.30067309074934e-173	0.402061475994513	"small"
"DL*M"	"DL*M+"	-1	"TQ_Resets_Diff"	8.34156876615757e-238	0.375721466918715	"small"
"DL*M"	"DL*M+"	-1	"EQ_Resets_Diff"	4.63443163248529e-157	0.587949035916824	"small"
"DL*M"	"DL*M+"	-1	"MQ_Resets_Diff"	8.34156876615757e-238	0.375721466918715	"small"
"DL*M"	"DL*M+"	-9	"TQ_Resets_Diff"	5.13403289276565e-33	0.714324	"medium"
"DL*M"	"DL*M+"	-9	"EQ_Resets_Diff"	1.73455410884526e-141	0.958052	"large"
"DL*M"	"DL*M+"	-9	"MQ_Resets_Diff"	5.13403289276565e-33	0.714324	"medium"
"DL*M"	"DL*M+"	-10	"TQ_Resets_Diff"	2.17869054721172e-198	1	"large"
"DL*M"	"DL*M+"	-10	"EQ_Resets_Diff"	7.06730740384825e-141	0.94112	"large"
"DL*M"	"DL*M+"	-10	"MQ_Resets_Diff"	2.17869054721172e-198	1	"large"
"DL*M"	"DL*M+"	-11	"TQ_Resets_Diff"	2.56496058231054e-158	0.933012	"large"
"DL*M"	"DL*M+"	-11	"EQ_Resets_Diff"	1.87284387992382e-178	0.999424	"large"
"DL*M"	"DL*M+"	-11	"MQ_Resets_Diff"	2.56496058231054e-158	0.933012	"large"
"DL*M"	"DL*M+"	6	"TQ_Resets_Diff"	1.53352995121536e-148	0.324738775510204	"medium"
"DL*M"	"DL*M+"	6	"EQ_Resets_Diff"	3.70548397063401e-182	0.684417142857143	"medium"
"DL*M"	"DL*M+"	6	"MQ_Resets_Diff"	1.53352995121536e-148	0.324738775510204	"medium"
"DL*M"	"DL*M+"	5	"TQ_Resets_Diff"	0	0.319853480968858	"medium"
"DL*M"	"DL*M+"	5	"EQ_Resets_Diff"	0	0.770105051903114	"large"
"DL*M"	"DL*M+"	5	"MQ_Resets_Diff"	0	0.319853480968858	"medium"
"DL*M"	"DL*M+"	8	"TQ_Resets_Diff"	5.43378580022788e-23	0.434735918367347	"negligible"
"DL*M"	"DL*M+"	8	"EQ_Resets_Diff"	0.303399161555741	0.506712	"negligible"
"DL*M"	"DL*M+"	8	"MQ_Resets_Diff"	5.43378580022788e-23	0.434735918367347	"negligible"
"DL*M"	"DL*M+"	10	"TQ_Resets_Diff"	1.9067107067123e-12	0.381902	"small"
"DL*M"	"DL*M+"	10	"EQ_Resets_Diff"	5.30613965158977e-71	0.257	"large"
"DL*M"	"DL*M+"	10	"MQ_Resets_Diff"	1.9067107067123e-12	0.381902	"small"
"DL*M"	"DL*M+"	11	"TQ_Resets_Diff"	2.32984768910479e-12	0.381902	"small"
"DL*M"	"DL*M+"	11	"EQ_Resets_Diff"	3.49397418615538e-18	0.356832	"small"
"DL*M"	"DL*M+"	11	"MQ_Resets_Diff"	2.32984768910479e-12	0.381902	"small"
"DL*M"	"DL*M+"	9	"TQ_Resets_Diff"	4.35747628963905e-45	0.249804	"large"
"DL*M"	"DL*M+"	9	"EQ_Resets_Diff"	8.99036437457344e-08	0.59	"small"
"DL*M"	"DL*M+"	9	"MQ_Resets_Diff"	4.35747628963905e-45	0.249804	"large"
"DL*M"	"Adp"	0	"TQ_Resets_Diff"	0	0.357845703125	"small"
"DL*M"	"Adp"	0	"EQ_Resets_Diff"	0.153971921175392	0.49725	"negligible"
"DL*M"	"Adp"	0	"MQ_Resets_Diff"	0	0.357845703125	"small"
"DL*M"	"Adp"	3	"TQ_Resets_Diff"	0	0	"large"
"DL*M"	"Adp"	3	"EQ_Resets_Diff"	2.59010023100239e-96	0.554818181818182	"negligible"
"DL*M"	"Adp"	3	"MQ_Resets_Diff"	0	0	"large"
"DL*M"	"Adp"	-3	"TQ_Resets_Diff"	0	0.668818181818182	"medium"
"DL*M"	"Adp"	-3	"EQ_Resets_Diff"	0	0.202909090909091	"large"
