"SUL"	"Reuse"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_098f"	"srv_098m"	"DL*M"	500	889	0	0	0
"srv_098f"	"srv_098m"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_098s"	"∂L*M"	500	876.736	4.61876281485419	0.206557352519245	0.405829301419165
"srv_098f"	"srv_098s"	"DL*M+"	500	890.41	8.0256290372086	0.358917041787892	0.705174860927028
"srv_098f"	"srv_098s"	"DL*M"	500	891.46	14.0021612989597	0.626195689927812	1.23030507651099
"srv_098f"	"srv_098s"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_098u"	"∂L*M"	500	880.256	14.0176836499409	0.626889870567103	1.23166895361566
"srv_098f"	"srv_098u"	"DL*M+"	500	1118.884	89.5838885636271	4.00631329034072	7.87132147103701
"srv_098f"	"srv_098u"	"DL*M"	500	1118.828	89.5042145647326	4.00275016078938	7.86432088568359
"srv_098f"	"srv_098u"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_098za"	"∂L*M"	500	878.634	8.36013323191148	0.373876524150181	0.73456619559818
"srv_098f"	"srv_098za"	"DL*M+"	500	1051.424	112.655611478502	5.03811210625472	9.89852693024954
"srv_098f"	"srv_098za"	"DL*M"	500	1018.212	64.7346290666812	2.89502062182666	5.68793210321829
"srv_098f"	"srv_098za"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_100"	"∂L*M"	500	877.184	5.08506241057461	0.227410904397476	0.446800887700811
"srv_098f"	"srv_100"	"DL*M+"	500	889	0	0	0
"srv_098f"	"srv_100"	"DL*M"	500	889	0	0	0
"srv_098f"	"srv_100"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_100f"	"∂L*M"	500	876.932	4.83343565183202	0.216157813647348	0.424691609564584
"srv_098f"	"srv_100f"	"DL*M+"	500	890.128	7.20050766413331	0.322016492190206	0.632675266588855
"srv_098f"	"srv_100f"	"DL*M"	500	890.968	12.5625878395517	0.561816007650998	1.10381642255928
"srv_098f"	"srv_100f"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_100h"	"∂L*M"	500	880.372	15.1765038311554	0.678713884544989	1.33348911703696
"srv_098f"	"srv_100h"	"DL*M+"	500	1121.228	85.3967753165712	3.81905989334258	7.50341921839248
"srv_098f"	"srv_100h"	"DL*M"	500	1121.21	85.3166558388633	3.81547684137306	7.49637949087851
"srv_098f"	"srv_100h"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_100m"	"∂L*M"	500	880.246	8.98526315184011	0.40183318406477	0.789493467006219
"srv_098f"	"srv_100m"	"DL*M+"	500	1045.39	112.946605843394	5.0511257698741	9.92409525764695
"srv_098f"	"srv_100m"	"DL*M"	500	1014.25	65.4873781227098	2.92868458301223	5.75407267717666
"srv_098f"	"srv_100m"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_101"	"∂L*M"	500	881.188	14.0564513177151	0.628623613376549	1.23507528906979
"srv_098f"	"srv_101"	"DL*M+"	500	1211.054	92.9244046198193	4.15570570997223	8.1648371486778
"srv_098f"	"srv_101"	"DL*M"	500	1211.054	92.9244046198193	4.15570570997223	8.1648371486778
"srv_098f"	"srv_101"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_101h"	"∂L*M"	500	878.838	8.32360022113524	0.372242718239813	0.73135620910691
"srv_098f"	"srv_101h"	"DL*M+"	500	1059.242	112.51967290025	5.03203274821998	9.88658263684034
"srv_098f"	"srv_101h"	"DL*M"	500	1022.156	65.2363643258951	2.91745890475287	5.73201725716672
"srv_098f"	"srv_101h"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_101k"	"∂L*M"	500	869.292	8.35621856927852	0.373701455115056	0.734222232319417
"srv_098f"	"srv_101k"	"DL*M+"	500	1052.784	113.164117895905	5.06085320458089	9.9432070345143
"srv_098f"	"srv_101k"	"DL*M"	500	982.612	51.9255040605663	2.32217913690735	4.5624536014203
"srv_098f"	"srv_101k"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_102"	"∂L*M"	500	863.464	7.32256402414998	0.327475018551875	0.643399793763108
"srv_098f"	"srv_102"	"DL*M+"	500	889.658	5.52758032855038	0.247200907314586	0.48568288807979
"srv_098f"	"srv_102"	"DL*M"	500	883.302	7.57268030316531	0.338660558595027	0.665376353039958
"srv_098f"	"srv_102"	"Adp"	500	945	0	0	0
"srv_098f"	"srv_110pre1"	"∂L*M"	500	904.542	6.07635418325172	0.271742820182321	0.533901105602089
"srv_098f"	"srv_110pre1"	"DL*M+"	500	918.034	6.90102109722675	0.308623045751184	0.606360768723489
"srv_098f"	"srv_110pre1"	"DL*M"	500	916.144	4.80764921577728	0.215004609169031	0.422425874832217
"srv_098f"	"srv_110pre1"	"Adp"	500	945	0	0	0
"srv_098l"	"null"	"L*M"	73	546	0	0	0
"srv_098l"	"srv_097"	"∂L*M"	500	507.308	55.9937472890585	2.50411650506559	4.91991129595973
"srv_098l"	"srv_097"	"DL*M+"	500	1131.65	131.731293804984	5.89120255423883	11.5746188065748
"srv_098l"	"srv_097"	"DL*M"	500	1116.66	83.7719037847861	3.74639342934707	7.36064928084135
"srv_098l"	"srv_097"	"Adp"	500	613	0	0	0
"srv_098l"	"srv_097c"	"∂L*M"	500	575.686	16.8366966090564	0.752959962687806	1.47936256892972
"srv_098l"	"srv_097c"	"DL*M+"	500	806.05	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098l"	"srv_097c"	"DL*M"	500	792.28	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098l"	"srv_097c"	"Adp"	500	613	0	0	0
"srv_098l"	"srv_097e"	"∂L*M"	500	575.2	15.8517682645889	0.708912628063894	1.39282147599946
"srv_098l"	"srv_097e"	"DL*M+"	500	806.38	27.5134436077768	1.23043860404192	2.41747888916703
"srv_098l"	"srv_097e"	"DL*M"	500	792.448	14.0068440185046	0.626405107512251	1.23071652539412
"srv_098l"	"srv_097e"	"Adp"	500	613	0	0	0
"srv_098l"	"srv_098f"	"∂L*M"	500	577.252	16.3736583993547	0.732252264426348	1.43867754553574
"srv_098l"	"srv_098f"	"DL*M+"	500	804.95	27.5220352599458	1.2308228344077	2.41823379785958
"srv_098l"	"srv_098f"	"DL*M"	500	791.72	14.0112179505179	0.626600715698464	1.23110084254669
"srv_098l"	"srv_098f"	"Adp"	500	613	0	0	0
"srv_098l"	"srv_098m"	"∂L*M"	500	507.612	7.93292623420101	0.354771246403297	0.697029494885893
"srv_098l"	"srv_098m"	"DL*M+"	500	546	0	0	0
