"EqO"	"SUL"	"Method"	"Reused"	"EQs"	"MQs"	"TQs"	"Rounds"	"PrefIni"	"SuffIni"	"PrefEnd"	"SuffEnd"
"WpMethodHypEQOracle"	"cli_100m"	"DL*M"	"cli_101h"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_100m"	"Adp"	"cli_102"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_100m"	"∂L*M"	"cli_101h"	0	256	256	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_100m"	"DL*M"	"cli_102"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_100m"	"DL*M+"	"cli_102"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_100m"	"∂L*M"	"cli_102"	0	256	256	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_100m"	"Adp"	"cli_110-pre1"	0	456	456	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_100m"	"DL*M"	"cli_110-pre1"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_100m"	"DL*M+"	"cli_110-pre1"	0	456	456	1	"7"	"8"	"7"	"4"
"WpMethodHypEQOracle"	"cli_100m"	"∂L*M"	"cli_110-pre1"	0	256	256	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"Adp"	"cli_098j"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"DL*M"	"cli_098j"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"DL*M+"	"cli_098j"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"∂L*M"	"cli_098j"	0	436	436	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"Adp"	"cli_098l"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"DL*M"	"cli_098l"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"DL*M+"	"cli_098l"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"∂L*M"	"cli_098l"	0	436	436	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"Adp"	"cli_098m"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"DL*M"	"cli_098m"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"DL*M+"	"cli_098m"	0	776	776	1	"12"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"∂L*M"	"cli_098m"	0	436	436	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"Adp"	"cli_098za"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"DL*M"	"cli_098za"	128	615	743	2	"7"	"8"	"7"	"3"
"WpMethodHypEQOracle"	"cli_101"	"DL*M+"	"cli_098za"	0	776	776	1	"7"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"∂L*M"	"cli_098za"	128	414	542	2	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"Adp"	"cli_100m"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"DL*M"	"cli_100m"	128	615	743	2	"7"	"8"	"7"	"3"
"WpMethodHypEQOracle"	"cli_101"	"DL*M+"	"cli_100m"	0	776	776	1	"7"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"∂L*M"	"cli_100m"	128	414	542	2	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"Adp"	"cli_101h"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"DL*M"	"cli_101h"	128	615	743	2	"7"	"8"	"7"	"3"
"WpMethodHypEQOracle"	"cli_101"	"Adp"	"cli_102"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"∂L*M"	"cli_101h"	128	414	542	2	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"DL*M+"	"cli_101h"	0	776	776	1	"7"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"DL*M"	"cli_102"	128	615	743	2	"7"	"8"	"7"	"3"
"WpMethodHypEQOracle"	"cli_101"	"DL*M+"	"cli_102"	0	776	776	1	"7"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"∂L*M"	"cli_102"	128	414	542	2	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"Adp"	"cli_110-pre1"	0	776	776	1	"null"	"null"	"null"	"null"
"WpMethodHypEQOracle"	"cli_101"	"DL*M"	"cli_110-pre1"	128	615	743	2	"7"	"8"	"7"	"3"
"WpMethodHypEQOracle"	"cli_101"	"DL*M+"	"cli_110-pre1"	0	776	776	1	"7"	"8"	"12"	"4"
"WpMethodHypEQOracle"	"cli_101"	"∂L*M"	"cli_110-pre1"	128	414	542	2	"null"	"null"	"null"	"null"
